Player,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Nelson Cruz,Mariners,155,645,39,91,119,1,10.90%,21.70%,0.261,0.315,0.288,0.375,0.549,0.385,147,-3.9,33.8,-16.7,3.9,2434
Jonathan Schoop,Orioles,160,675,32,92,105,1,5.20%,21.00%,0.211,0.33,0.293,0.338,0.503,0.355,122,-2.1,15.8,-0.6,3.8,11265
J.T. Realmuto,Marlins,141,579,17,68,65,8,6.20%,18.30%,0.173,0.318,0.278,0.332,0.451,0.332,107,1.6,6.9,12.6,3.8,11739
Steven Souza Jr.,Rays,148,617,30,78,78,16,13.60%,29.00%,0.22,0.302,0.239,0.351,0.459,0.348,120,3.6,18.9,-2.7,3.7,5667
Andrew McCutchen,Pirates,156,650,28,94,88,11,11.20%,17.80%,0.207,0.305,0.279,0.363,0.486,0.36,123,1.1,20,-4.2,3.7,9847
Kyle Seager,Mariners,154,650,27,72,88,2,8.90%,16.90%,0.201,0.262,0.249,0.323,0.45,0.326,107,-0.9,5.1,9.1,3.6,9785
Justin Smoak,Blue Jays,158,637,38,85,90,0,11.50%,20.10%,0.259,0.285,0.27,0.355,0.529,0.371,133,-3.1,23,-8.4,3.6,9054
Dee Gordon,Marlins,158,695,2,114,33,60,3.60%,13.40%,0.067,0.354,0.308,0.341,0.375,0.312,94,9.3,4.2,9.8,3.6,8203
Jed Lowrie,Athletics,153,645,14,86,69,0,11.30%,15.50%,0.171,0.314,0.277,0.36,0.448,0.347,119,-1.3,13.8,-0.1,3.6,4418
Alex Bregman,Astros,155,626,19,88,71,17,8.80%,15.50%,0.191,0.311,0.284,0.352,0.475,0.351,123,0.3,18.2,-4.4,3.5,17678
Byron Buxton,Twins,140,511,16,69,51,29,7.40%,29.40%,0.16,0.339,0.253,0.314,0.413,0.312,90,11.8,5.7,12,3.5,14161
Travis Shaw,Brewers,144,606,31,84,101,10,9.90%,22.80%,0.24,0.312,0.273,0.349,0.513,0.361,120,-1.8,13.7,1.6,3.5,11982
